partyName,email,category,firstName,lastName,isPrimary,isChild
Mom & Dad Beaudin,robert.beaudin@example.com,allEvents,Robert,Beaudin,true,false
Mom & Dad Beaudin,robert.beaudin@example.com,allEvents,Marie,Beaudin,false,false
Mom & Dad Zhang,wei.zhang@example.com,allEvents,Wei,Zhang,true,false
Mom & Dad Zhang,wei.zhang@example.com,allEvents,Mei,Zhang,false,false
Grandma Beaudin,eleanor.beaudin@example.com,allEvents,Eleanor,Beaudin,true,false
The Uncle Bob Family,bob.beaudin@example.com,allEvents,Bob,Beaudin,true,false
The Uncle Bob Family,bob.beaudin@example.com,allEvents,Linda,Beaudin,false,false
The Uncle Bob Family,bob.beaudin@example.com,allEvents,Tyler,Beaudin,false,true
Mike & Sarah Jones,mike.jones@example.com,welcomeAndWedding,Mike,Jones,true,false
Mike & Sarah Jones,mike.jones@example.com,welcomeAndWedding,Sarah,Jones,false,false
David & Emily Chen,david.chen@example.com,welcomeAndWedding,David,Chen,true,false
David & Emily Chen,david.chen@example.com,welcomeAndWedding,Emily,Chen,false,false
Alex Kim,alex.kim@example.com,welcomeAndWedding,Alex,Kim,true,false
Jordan Taylor,jordan.taylor@example.com,welcomeAndWedding,Jordan,Taylor,true,false
The Johnson Family,tom.johnson@example.com,welcomeAndWedding,Tom,Johnson,true,false
The Johnson Family,tom.johnson@example.com,welcomeAndWedding,Lisa,Johnson,false,false
The Johnson Family,tom.johnson@example.com,welcomeAndWedding,Emma,Johnson,false,true
The Johnson Family,tom.johnson@example.com,welcomeAndWedding,Oliver,Johnson,false,true
The Garcia Family,carlos.garcia@example.com,welcomeAndWedding,Carlos,Garcia,true,false
The Garcia Family,carlos.garcia@example.com,welcomeAndWedding,Maria,Garcia,false,false
The Garcia Family,carlos.garcia@example.com,welcomeAndWedding,Sofia,Garcia,false,true
Rachel Green,rachel.green@example.com,welcomeAndWedding,Rachel,Green,true,false
Mark & Amy Wilson,mark.wilson@example.com,welcomeAndWedding,Mark,Wilson,true,false
Mark & Amy Wilson,mark.wilson@example.com,welcomeAndWedding,Amy,Wilson,false,false
Chris Anderson,chris.anderson@example.com,welcomeAndWedding,Chris,Anderson,true,false
